KOMK;TID;INDHOLD
Hele landet;2012;95260
Hele landet;2014;90544
Hele landet;2016;93492
Hele landet;2018;98778
Hele landet;2020;99185
Hele landet;2022;97193
Region Hovedstaden;2012;8085
Region Hovedstaden;2014;7644
Region Hovedstaden;2016;8468
Region Hovedstaden;2018;8425
Region Hovedstaden;2020;8392
Region Hovedstaden;2022;8682
København;2012;855
København;2014;597
København;2016;737
København;2018;802
København;2020;819
København;2022;640
Frederiksberg;2012;330
Frederiksberg;2014;320
Frederiksberg;2016;356
Frederiksberg;2018;375
Frederiksberg;2020;319
Frederiksberg;2022;334
Dragør;2012;0
Dragør;2014;0
Dragør;2016;2
Dragør;2018;2
Dragør;2020;2
Dragør;2022;2
Tårnby;2012;177
Tårnby;2014;94
Tårnby;2016;113
Tårnby;2018;117
Tårnby;2020;104
Tårnby;2022;101
Albertslund;2012;92
Albertslund;2014;87
Albertslund;2016;77
Albertslund;2018;69
Albertslund;2020;78
Albertslund;2022;74
Ballerup;2012;696
Ballerup;2014;629
Ballerup;2016;654
Ballerup;2018;682
Ballerup;2020;680
Ballerup;2022;678
Brøndby;2012;154
Brøndby;2014;115
Brøndby;2016;110
Brøndby;2018;111
Brøndby;2020;137
Brøndby;2022;159
Gentofte;2012;235
Gentofte;2014;105
Gentofte;2016;217
Gentofte;2018;107
Gentofte;2020;82
Gentofte;2022;192
Gladsaxe;2012;760
Gladsaxe;2014;805
Gladsaxe;2016;819
Gladsaxe;2018;810
Gladsaxe;2020;746
Gladsaxe;2022;654
Glostrup;2012;123
Glostrup;2014;93
Glostrup;2016;113
Glostrup;2018;58
Glostrup;2020;45
Glostrup;2022;118
Herlev;2012;173
Herlev;2014;111
Herlev;2016;150
Herlev;2018;165
Herlev;2020;129
Herlev;2022;50
Hvidovre;2012;397
Hvidovre;2014;389
Hvidovre;2016;539
Hvidovre;2018;440
Hvidovre;2020;463
Hvidovre;2022;496
Høje-Taastrup;2012;330
Høje-Taastrup;2014;314
Høje-Taastrup;2016;328
Høje-Taastrup;2018;298
Høje-Taastrup;2020;240
Høje-Taastrup;2022;223
Ishøj;2012;35
Ishøj;2014;35
Ishøj;2016;38
Ishøj;2018;31
Ishøj;2020;35
Ishøj;2022;39
Lyngby-Taarbæk;2012;22
Lyngby-Taarbæk;2014;13
Lyngby-Taarbæk;2016;12
Lyngby-Taarbæk;2018;28
Lyngby-Taarbæk;2020;53
Lyngby-Taarbæk;2022;48
Rødovre;2012;33
Rødovre;2014;39
Rødovre;2016;29
Rødovre;2018;26
Rødovre;2020;26
Rødovre;2022;28
Vallensbæk;2012;0
Vallensbæk;2014;0
Vallensbæk;2016;0
Vallensbæk;2018;4
Vallensbæk;2020;7
Vallensbæk;2022;17
Allerød;2012;102
Allerød;2014;104
Allerød;2016;78
Allerød;2018;92
Allerød;2020;125
Allerød;2022;156
Egedal;2012;50
Egedal;2014;31
Egedal;2016;29
Egedal;2018;37
Egedal;2020;36
Egedal;2022;46
Fredensborg;2012;30
Fredensborg;2014;22
Fredensborg;2016;24
Fredensborg;2018;22
Fredensborg;2020;31
Fredensborg;2022;51
Frederikssund;2012;999
Frederikssund;2014;1119
Frederikssund;2016;1110
Frederikssund;2018;1059
Frederikssund;2020;1091
Frederikssund;2022;983
Furesø;2012;83
Furesø;2014;77
Furesø;2016;61
Furesø;2018;82
Furesø;2020;93
Furesø;2022;92
Gribskov;2012;127
Gribskov;2014;125
Gribskov;2016;164
Gribskov;2018;150
Gribskov;2020;144
Gribskov;2022;64
Halsnæs;2012;1417
Halsnæs;2014;1637
Halsnæs;2016;1877
Halsnæs;2018;1969
Halsnæs;2020;1973
Halsnæs;2022;2209
Helsingør;2012;258
Helsingør;2014;166
Helsingør;2016;159
Helsingør;2018;163
Helsingør;2020;163
Helsingør;2022;188
Hillerød;2012;249
Hillerød;2014;255
Hillerød;2016;312
Hillerød;2018;325
Hillerød;2020;400
Hillerød;2022;642
Hørsholm;2012;3
Hørsholm;2014;2
Hørsholm;2016;2
Hørsholm;2018;4
Hørsholm;2020;4
Hørsholm;2022;4
Rudersdal;2012;166
Rudersdal;2014;164
Rudersdal;2016;173
Rudersdal;2018;171
Rudersdal;2020;182
Rudersdal;2022;226
Bornholm;2012;191
Bornholm;2014;197
Bornholm;2016;183
Bornholm;2018;226
Bornholm;2020;183
Bornholm;2022;170
Christiansø;2012;0
Christiansø;2014;0
Christiansø;2016;0
Christiansø;2018;0
Christiansø;2020;0
Christiansø;2022;0
Region Sjælland;2012;22244
Region Sjælland;2014;20692
Region Sjælland;2016;19413
Region Sjælland;2018;19972
Region Sjælland;2020;20912
Region Sjælland;2022;20405
Greve;2012;49
Greve;2014;34
Greve;2016;51
Greve;2018;44
Greve;2020;33
Greve;2022;29
Køge;2012;1980
Køge;2014;2051
Køge;2016;2221
Køge;2018;1937
Køge;2020;2156
Køge;2022;1914
Lejre;2012;66
Lejre;2014;42
Lejre;2016;54
Lejre;2018;99
Lejre;2020;46
Lejre;2022;54
Roskilde;2012;337
Roskilde;2014;271
Roskilde;2016;297
Roskilde;2018;299
Roskilde;2020;354
Roskilde;2022;335
Solrød;2012;13
Solrød;2014;11
Solrød;2016;18
Solrød;2018;19
Solrød;2020;19
Solrød;2022;19
Faxe;2012;719
Faxe;2014;720
Faxe;2016;764
Faxe;2018;739
Faxe;2020;594
Faxe;2022;692
Guldborgsund;2012;1817
Guldborgsund;2014;1723
Guldborgsund;2016;1434
Guldborgsund;2018;1147
Guldborgsund;2020;1666
Guldborgsund;2022;1384
Holbæk;2012;290
Holbæk;2014;233
Holbæk;2016;246
Holbæk;2018;234
Holbæk;2020;237
Holbæk;2022;242
Kalundborg;2012;12218
Kalundborg;2014;11431
Kalundborg;2016;10099
Kalundborg;2018;11386
Kalundborg;2020;12040
Kalundborg;2022;11630
Lolland;2012;1838
Lolland;2014;1286
Lolland;2016;1256
Lolland;2018;1286
Lolland;2020;1166
Lolland;2022;1508
Næstved;2012;1239
Næstved;2014;1194
Næstved;2016;1190
Næstved;2018;1087
Næstved;2020;1048
Næstved;2022;1033
Odsherred;2012;137
Odsherred;2014;121
Odsherred;2016;153
Odsherred;2018;162
Odsherred;2020;137
Odsherred;2022;155
Ringsted;2012;377
Ringsted;2014;380
Ringsted;2016;388
Ringsted;2018;369
Ringsted;2020;314
Ringsted;2022;304
Slagelse;2012;464
Slagelse;2014;495
Slagelse;2016;482
Slagelse;2018;490
Slagelse;2020;495
Slagelse;2022;452
Sorø;2012;135
Sorø;2014;121
Sorø;2016;116
Sorø;2018;112
Sorø;2020;98
Sorø;2022;110
Stevns;2012;133
Stevns;2014;130
Stevns;2016;123
Stevns;2018;107
Stevns;2020;86
Stevns;2022;86
Vordingborg;2012;431
Vordingborg;2014;451
Vordingborg;2016;520
Vordingborg;2018;455
Vordingborg;2020;422
Vordingborg;2022;456
Region Syddanmark;2012;23378
Region Syddanmark;2014;23771
Region Syddanmark;2016;23537
Region Syddanmark;2018;24566
Region Syddanmark;2020;23666
Region Syddanmark;2022;23554
Assens;2012;599
Assens;2014;612
Assens;2016;673
Assens;2018;671
Assens;2020;695
Assens;2022;723
Faaborg-Midtfyn;2012;406
Faaborg-Midtfyn;2014;428
Faaborg-Midtfyn;2016;334
Faaborg-Midtfyn;2018;408
Faaborg-Midtfyn;2020;380
Faaborg-Midtfyn;2022;367
Kerteminde;2012;258
Kerteminde;2014;367
Kerteminde;2016;371
Kerteminde;2018;293
Kerteminde;2020;262
Kerteminde;2022;339
Langeland;2012;25
Langeland;2014;35
Langeland;2016;32
Langeland;2018;43
Langeland;2020;42
Langeland;2022;41
Middelfart;2012;269
Middelfart;2014;255
Middelfart;2016;279
Middelfart;2018;323
Middelfart;2020;328
Middelfart;2022;342
Nordfyns;2012;326
Nordfyns;2014;351
Nordfyns;2016;385
Nordfyns;2018;426
Nordfyns;2020;428
Nordfyns;2022;354
Nyborg;2012;576
Nyborg;2014;631
Nyborg;2016;732
Nyborg;2018;723
Nyborg;2020;664
Nyborg;2022;644
Odense;2012;955
Odense;2014;937
Odense;2016;801
Odense;2018;848
Odense;2020;901
Odense;2022;825
Svendborg;2012;301
Svendborg;2014;329
Svendborg;2016;283
Svendborg;2018;346
Svendborg;2020;344
Svendborg;2022;337
Ærø;2012;7
Ærø;2014;4
Ærø;2016;11
Ærø;2018;7
Ærø;2020;5
Ærø;2022;4
Billund;2012;1145
Billund;2014;1087
Billund;2016;1060
Billund;2018;1170
Billund;2020;1180
Billund;2022;1291
Esbjerg;2012;2211
Esbjerg;2014;1767
Esbjerg;2016;1659
Esbjerg;2018;1808
Esbjerg;2020;1726
Esbjerg;2022;1666
Fanø;2012;0
Fanø;2014;0
Fanø;2016;0
Fanø;2018;0
Fanø;2020;0
Fanø;2022;0
Fredericia;2012;8077
Fredericia;2014;8744
Fredericia;2016;8758
Fredericia;2018;8883
Fredericia;2020;8374
Fredericia;2022;8256
Haderslev;2012;454
Haderslev;2014;482
Haderslev;2016;537
Haderslev;2018;537
Haderslev;2020;515
Haderslev;2022;478
Kolding;2012;1605
Kolding;2014;1812
Kolding;2016;1645
Kolding;2018;1702
Kolding;2020;1656
Kolding;2022;1686
Sønderborg;2012;1484
Sønderborg;2014;1365
Sønderborg;2016;1337
Sønderborg;2018;1440
Sønderborg;2020;1375
Sønderborg;2022;1363
Tønder;2012;1720
Tønder;2014;1686
Tønder;2016;1620
Tønder;2018;1756
Tønder;2020;1476
Tønder;2022;1392
Varde;2012;811
Varde;2014;799
Varde;2016;884
Varde;2018;879
Varde;2020;865
Varde;2022;788
Vejen;2012;443
Vejen;2014;454
Vejen;2016;474
Vejen;2018;515
Vejen;2020;505
Vejen;2022;545
Vejle;2012;1055
Vejle;2014;985
Vejle;2016;1012
Vejle;2018;1048
Vejle;2020;1173
Vejle;2022;1388
Aabenraa;2012;649
Aabenraa;2014;642
Aabenraa;2016;649
Aabenraa;2018;740
Aabenraa;2020;773
Aabenraa;2022;725
Region Midtjylland;2012;20581
Region Midtjylland;2014;19216
Region Midtjylland;2016;19419
Region Midtjylland;2018;20893
Region Midtjylland;2020;20629
Region Midtjylland;2022;21409
Favrskov;2012;1104
Favrskov;2014;1194
Favrskov;2016;819
Favrskov;2018;1317
Favrskov;2020;1454
Favrskov;2022;1374
Hedensted;2012;1034
Hedensted;2014;1084
Hedensted;2016;1568
Hedensted;2018;1385
Hedensted;2020;1235
Hedensted;2022;1221
Horsens;2012;1656
Horsens;2014;1482
Horsens;2016;1448
Horsens;2018;1391
Horsens;2020;1434
Horsens;2022;1346
Norddjurs;2012;694
Norddjurs;2014;314
Norddjurs;2016;594
Norddjurs;2018;613
Norddjurs;2020;677
Norddjurs;2022;764
Odder;2012;39
Odder;2014;23
Odder;2016;23
Odder;2018;35
Odder;2020;20
Odder;2022;23
Randers;2012;616
Randers;2014;911
Randers;2016;915
Randers;2018;1055
Randers;2020;1023
Randers;2022;938
Samsø;2012;24
Samsø;2014;21
Samsø;2016;20
Samsø;2018;18
Samsø;2020;18
Samsø;2022;18
Silkeborg;2012;549
Silkeborg;2014;552
Silkeborg;2016;582
Silkeborg;2018;489
Silkeborg;2020;607
Silkeborg;2022;563
Skanderborg;2012;370
Skanderborg;2014;365
Skanderborg;2016;417
Skanderborg;2018;433
Skanderborg;2020;428
Skanderborg;2022;450
Syddjurs;2012;1142
Syddjurs;2014;996
Syddjurs;2016;893
Syddjurs;2018;927
Syddjurs;2020;830
Syddjurs;2022;924
Aarhus;2012;2901
Aarhus;2014;1820
Aarhus;2016;1904
Aarhus;2018;2000
Aarhus;2020;1787
Aarhus;2022;1844
Herning;2012;882
Herning;2014;780
Herning;2016;796
Herning;2018;906
Herning;2020;826
Herning;2022;931
Holstebro;2012;1417
Holstebro;2014;1831
Holstebro;2016;1988
Holstebro;2018;2046
Holstebro;2020;1886
Holstebro;2022;1975
Ikast-Brande;2012;1110
Ikast-Brande;2014;889
Ikast-Brande;2016;1146
Ikast-Brande;2018;1296
Ikast-Brande;2020;1435
Ikast-Brande;2022;1418
Lemvig;2012;1435
Lemvig;2014;1785
Lemvig;2016;1378
Lemvig;2018;1280
Lemvig;2020;1347
Lemvig;2022;1335
Ringkøbing-Skjern;2012;2936
Ringkøbing-Skjern;2014;2651
Ringkøbing-Skjern;2016;2655
Ringkøbing-Skjern;2018;2911
Ringkøbing-Skjern;2020;3046
Ringkøbing-Skjern;2022;3744
Skive;2012;905
Skive;2014;842
Skive;2016;766
Skive;2018;940
Skive;2020;971
Skive;2022;851
Struer;2012;172
Struer;2014;202
Struer;2016;286
Struer;2018;173
Struer;2020;152
Struer;2022;143
Viborg;2012;1596
Viborg;2014;1474
Viborg;2016;1222
Viborg;2018;1679
Viborg;2020;1454
Viborg;2022;1547
Region Nordjylland;2012;20972
Region Nordjylland;2014;19223
Region Nordjylland;2016;22654
Region Nordjylland;2018;24922
Region Nordjylland;2020;25588
Region Nordjylland;2022;23143
Brønderslev;2012;412
Brønderslev;2014;392
Brønderslev;2016;435
Brønderslev;2018;432
Brønderslev;2020;429
Brønderslev;2022;229
Frederikshavn;2012;1190
Frederikshavn;2014;1274
Frederikshavn;2016;1101
Frederikshavn;2018;1305
Frederikshavn;2020;1199
Frederikshavn;2022;1137
Hjørring;2012;472
Hjørring;2014;348
Hjørring;2016;380
Hjørring;2018;408
Hjørring;2020;404
Hjørring;2022;424
Jammerbugt;2012;233
Jammerbugt;2014;192
Jammerbugt;2016;188
Jammerbugt;2018;185
Jammerbugt;2020;186
Jammerbugt;2022;185
Læsø;2012;0
Læsø;2014;0
Læsø;2016;0
Læsø;2018;0
Læsø;2020;0
Læsø;2022;0
Mariagerfjord;2012;2691
Mariagerfjord;2014;2535
Mariagerfjord;2016;3279
Mariagerfjord;2018;2951
Mariagerfjord;2020;2918
Mariagerfjord;2022;3123
Morsø;2012;250
Morsø;2014;213
Morsø;2016;456
Morsø;2018;400
Morsø;2020;346
Morsø;2022;397
Rebild;2012;186
Rebild;2014;211
Rebild;2016;265
Rebild;2018;296
Rebild;2020;261
Rebild;2022;241
Thisted;2012;1629
Thisted;2014;908
Thisted;2016;1210
Thisted;2018;1275
Thisted;2020;1319
Thisted;2022;902
Vesthimmerlands;2012;640
Vesthimmerlands;2014;718
Vesthimmerlands;2016;732
Vesthimmerlands;2018;809
Vesthimmerlands;2020;819
Vesthimmerlands;2022;997
Aalborg;2012;13271
Aalborg;2014;12432
Aalborg;2016;14610
Aalborg;2018;16860
Aalborg;2020;17706
Aalborg;2022;15508
